tier	id	title	md_source	md_source_id	summary_len	cover_real	n_authors	n_genres	n_synonyms	n_gallery	n_volumes	n_chapters	n_readable	average_score	title_in_synonyms
A_CORRECT	1823	Cooking Master Boy	anilist	30944	1146	t	1	5	3	1	6	35	0	64	t
A_CORRECT	2227	Coyote	anilist	98447	1393	t	1	4	3	2	16	5	0	52	t
A_CORRECT	2625	Cross Manage	anilist	72695	242	t	1	7	3	0	5	44	0	69	t
A_CORRECT	3747	Crow Hill: Don’t Be Shy!!	anilist	109064	511	t	1	3	6	14	7	12	0	78	t
A_CORRECT	3734	Curtain Call	anilist	146779	206	t	1	3	2	2	26	157	0	65	f
A_CORRECT	4838	DARLING in the FRANXX	anilist	100937	978	t	1	9	3	25	9	60	0	71	t
A_CORRECT	4434	Dai Dark	anilist	105263	546	t	1	7	4	37	10	68	0	77	t
A_CORRECT	1982	Daimos	anilist	105142	325	t	1	3	5	0	6	27	0	71	f
C_GENERIC	2498	Dakikata wa Kore de Attemasu ka?	anilist	209977	40	t	1	3	4	0	0	8	0		t
A_CORRECT	485	Dandadan	anilist	132029	591	t	1	12	6	255	43	255	60	82	t
A_CORRECT	1908	Dangan Honey	anilist	79639	314	t	1	4	2	0	3	12	0	59	t
A_CORRECT	4830	Dark Summoner to Dekiteiru	anilist	157391	372	t	1	7	3	5	8	94	0	67	t
A_CORRECT	4836	Dawn of the Arcana	anilist	41896	468	t	1	8	8	13	14	70	0	73	t
A_CORRECT	1483	Deadman Wonderland	anilist	33986	379	t	2	8	4	60	13	58	0	74	t
A_CORRECT	4658	Death Note	anilist	30021	460	t	1	7	11	133	13	126	120	84	t
A_CORRECT	1988	Dekoboko Sugar Days	anilist	110281	532	t	1	5	4	8	15	8	0	75	t
A_CORRECT	4654	Demon Slayer: Kimetsu no Yaiba	anilist	87216	649	t	1	8	17	45	24	213	0	79	t
A_CORRECT	2009	Devil Children White	anilist	35443	704	t	1	3	1	6	6	54	0		f
A_CORRECT	1835	Devil May Cry 5: Visions of V	anilist	108427	316	t	2	5	2	0	5	36	0	79	t
A_CORRECT	2442	Devil Survivor 2	anilist	76874	230	t	3	7	2	0	4	29	0	60	f
A_CORRECT	4821	Devilman	anilist	31474	504	t	1	11	6	5	5	53	0	80	t
A_CORRECT	1911	Devilman Saga	anilist	86157	215	t	1	7	2	136	97	116	0	54	t
A_CORRECT	2154	Doctor K	anilist	55800	323	t	1	7	3	0	6	91	0		t
A_CORRECT	2273	Dolly Kill Kill	anilist	85506	514	t	1	6	4	11	11	133	0	66	t
A_CORRECT	2213	Domestic Girlfriend	anilist	85802	470	t	1	8	8	53	28	305	0	68	t
A_CORRECT	4041	Doraemon	anilist	31032	303	t	1	6	2	3	1302	872	0	80	t
A_CORRECT	2105	Dorei Tensei: Sono Dorei Saikyou no Moto Ouji ni Tsuki	anilist	124941	364	t	2	6	2	29	14	117	0	65	t
A_CORRECT	4634	Dorohedoro	anilist	31133	717	t	1	11	6	198	24	239	0	86	t
A_CORRECT	4034	Doron Dororon	anilist	141262	521	t	1	7	4	42	5	39	0	56	t
A_CORRECT	1495	Dr. Stone	anilist	98416	562	t	1	6	3	275	27	243	0	81	t
A_CORRECT	4636	Dragon Ball	anilist	30042	596	t	1	8	12	59	43	529	1	83	t
A_CORRECT	2158	Dragon Ball GT	anilist	30042	596	t	1	8	12	32	42	520	0	83	f
A_CORRECT	4652	Dragon Ball Super	anilist	86508	634	t	2	7	5	43	29	531	0	72	t
A_CORRECT	4439	Duke Pendragon: Master of the White Dragon	anilist	143025	522	t	2	8	7	2	2	131	0	73	t
A_CORRECT	2397	Edens Bowy	anilist	34610	458	t	1	9	5	0	33	153	0	71	t
A_CORRECT	1876	Eleven	anilist	57171	87	t	1	2	2	0	43	208	0		t
A_CORRECT	2642	Enzai Reijou wa Shinjitai: Ginpatsu no Fukitsu to Iwarete Konyaku Haki sareta Shishaku Reijou wa Ansatsu Kizoku ni Dekiai sarete Daini no Jinsei wo Tannou suru You desu	anilist	198259	386	t	2	2	2	18	6	57	0		t
A_CORRECT	1834	Eroko-san on the Attack	anilist	116180	574	t	1	7	4	3	10	63	0	68	t
A_CORRECT	2593	Escape	anilist	33434	262	t	1	3	3	2	6	1	0	55	t
A_CORRECT	3736	Even If You Slit My Mouth	anilist	125624	343	t	1	7	5	12	12	91	0	76	t
A_CORRECT	1893	Even Though We’re Adults	anilist	105675	436	t	1	5	8	0	10	50	0	74	t
A_CORRECT	2390	Every Day Is a Good Day	anilist	128061	411	t	1	4	3	0	0	5	0	74	t
A_CORRECT	2146	Failed Princesses	anilist	103845	494	t	1	8	6	8	6	41	0	74	t
A_CORRECT	4657	Fairy Tail	anilist	30598	526	t	1	7	6	624	64	558	0	70	t
A_CORRECT	2626	Fate/kaleid liner Prisma ☆ Illya Drei 3!!	anilist	66131	258	t	2	7	6	121	27	108	0	81	t
A_CORRECT	3737	Final Fantasy Lost Stranger	anilist	102232	545	t	1	6	3	13	13	108	0	72	t
A_CORRECT	4642	Fire Force	anilist	86310	716	t	1	10	11	326	35	336	297	78	t
A_CORRECT	4643	Fire Punch	anilist	87170	333	t	1	11	4	98	8	83	0	79	t
A_CORRECT	2322	Flunk Punk Rumble	anilist	33537	458	t	1	7	10	0	23	219	0	73	t
A_CORRECT	2517	From Betrayed Hero to Invincible Demon King	anilist	111089	481	t	1	5	4	0	1	50	0	59	t
A_CORRECT	1484	Fruits Basket	anilist	30102	614	t	1	7	8	159	27	137	0	85	t
A_CORRECT	4637	Fullmetal Alchemist	anilist	34658	805	t	1	10	6	135	28	124	0	77	t
A_CORRECT	1666	Futanarikko Lovers	anilist	68323	154	t	9	4	4	96	17	190	0		t
A_CORRECT	4358	GIGANT	anilist	137873	522	t	2	8	2	11	5	47	0	57	f
A_CORRECT	2298	GREEN BLOOD	anilist	66099	1136	t	1	8	4	49	5	49	0	74	t
A_CORRECT	4839	Gachiakuta	anilist	144946	526	t	1	5	4	184	19	171	0	81	t
A_MATCHED_SPARSE	2197	Gakkou Ichi no Bishoujo to Shinyuu Doushi no Renai Soudan ni Notteitara, Itsunomanika Kanojo ga Dare yori mo Chikai Sonzai ni natteta Ken	anilist	182443	870	t	1	5	3	0	0	0	0	69	t
A_CORRECT	2463	Gal ni Koisuru 5-byou Mae Anthology Comic	anilist	163336	804	t	6	4	2	0	2	6	0		t
A_CORRECT	2263	Galaxy Express 999	anilist	30776	413	t	1	8	7	0	14	121	0	72	t
A_CORRECT	2401	Gangsta	anilist	54903	591	t	1	6	5	52	13	65	0	78	f
